Original_Plate_Map_Name	well_position	broad_sample	conc_mmol
H-CBLE-006-4	A01	BRD-K73894303-001-01-5	5.035103898315961
H-CBLE-006-4	A02	BRD-K91934571-001-01-2	5.040890661159812
H-CBLE-006-4	A03	BRD-K90675978-001-01-1	5.001852557904982
H-CBLE-006-4	A04	BRD-K72713703-001-01-4	5.0354512661349435
H-CBLE-006-4	A05	BRD-K01606969-001-01-5	5.0499794321834965
H-CBLE-006-4	A06	BRD-K24178822-001-01-5	5.039412080066136
H-CBLE-006-4	A07	BRD-K61213827-001-01-9	5.044814082333471
H-CBLE-006-4	A08	BRD-K20051655-001-01-0	4.963897894204362
H-CBLE-006-4	A09	BRD-K36798110-001-01-7	4.978713731435726
H-CBLE-006-4	A10	BRD-K30615964-001-01-6	5.024068605654423
H-CBLE-006-4	A11	BRD-K10031593-001-01-9	5.015741477689863
H-CBLE-006-4	A12	BRD-K72565671-001-01-6	5.017931755702096
H-CBLE-006-4	A13		
H-CBLE-006-4	A14		
H-CBLE-006-4	A15	BRD-K14306031-001-01-1	4.907747063781914
H-CBLE-006-4	A16	BRD-K24549321-001-01-3	4.986370778011197
H-CBLE-006-4	A17	BRD-K30581008-001-01-8	5.001935010504925
H-CBLE-006-4	A18	BRD-K94962942-001-01-2	4.8601588659666355
H-CBLE-006-4	A19	BRD-K41719231-001-01-0	5.036813768103585
H-CBLE-006-4	A20	BRD-K23840704-001-01-4	5.013456981207564
H-CBLE-006-4	A21	BRD-K30921693-001-01-6	5.0168177570518955
H-CBLE-006-4	A22	BRD-K53257131-001-01-7	5.009205840039066
H-CBLE-006-4	A23	BRD-K85359206-001-01-3	4.96874442019968
H-CBLE-006-4	A24	BRD-K12841150-001-01-4	5.015480848552478
H-CBLE-006-4	B01	BRD-K05065044-001-01-9	4.998721233433836
H-CBLE-006-4	B02	BRD-K88097873-001-01-8	5.019396152091124
H-CBLE-006-4	B03	BRD-K56893290-001-01-3	5.028337691792402
H-CBLE-006-4	B04	BRD-K42084582-001-01-3	5.032569753620121
H-CBLE-006-4	B05	BRD-K72060903-001-01-8	5.009508397682424
H-CBLE-006-4	B06	BRD-K42511168-001-01-7	5.033991141824468
H-CBLE-006-4	B07	BRD-K24133768-001-01-6	4.992843939637578
H-CBLE-006-4	B08	BRD-K96459367-001-01-3	5.051812353280017
H-CBLE-006-4	B09	BRD-K52119965-001-01-1	5.055466439388646
H-CBLE-006-4	B10	BRD-K60127720-001-01-0	5.02239486180714
H-CBLE-006-4	B11	BRD-K95111937-001-01-2	5.003376463891506
H-CBLE-006-4	B12	BRD-K32185628-001-01-6	5.028018662623867
H-CBLE-006-4	B13		
H-CBLE-006-4	B14		
H-CBLE-006-4	B15	BRD-K59263278-001-01-2	4.997540057723847
H-CBLE-006-4	B16	BRD-K61354976-001-01-0	5.027724410341501
H-CBLE-006-4	B17	BRD-K39037393-001-01-5	5.010133372838876
H-CBLE-006-4	B18	BRD-K46376359-001-01-0	4.99968623330773
H-CBLE-006-4	B19	BRD-K22606370-001-01-3	5.004103574033248
H-CBLE-006-4	B20	BRD-K59205024-001-01-0	4.993933555887781
H-CBLE-006-4	B21	BRD-K44908880-001-01-0	5.013669976266743
H-CBLE-006-4	B22	BRD-K03304013-001-01-1	5.03644360493643
H-CBLE-006-4	B23	BRD-K31530457-001-01-0	4.902790612268121
H-CBLE-006-4	B24	BRD-K65488906-001-01-7	5.016241229546926
H-CBLE-006-4	C01	BRD-K35066174-001-01-3	5.014713188023337
H-CBLE-006-4	C02	BRD-K84716908-001-01-6	5.028838015469306
H-CBLE-006-4	C03	BRD-K34602185-001-01-3	4.992929039096578
H-CBLE-006-4	C04	BRD-K42508877-001-01-5	5.029431205436846
H-CBLE-006-4	C05	BRD-K55518911-001-01-6	4.992398265915949
H-CBLE-006-4	C06	BRD-K01039605-001-01-9	5.0035492591119715
H-CBLE-006-4	C07	BRD-K96149826-001-01-5	4.9770762402920115
H-CBLE-006-4	C08	BRD-K92379545-001-01-2	5.032499012849178
H-CBLE-006-4	C09	BRD-K98938484-001-01-2	5.026250068677586
H-CBLE-006-4	C10	BRD-K44203030-001-01-5	5.029078399034716
H-CBLE-006-4	C11		
H-CBLE-006-4	C12		
H-CBLE-006-4	C13	BRD-K98537764-001-01-3	5.001839751679637
H-CBLE-006-4	C14	BRD-K31602570-001-01-9	5.022049348465092
H-CBLE-006-4	C15		
H-CBLE-006-4	C16		
H-CBLE-006-4	C17	BRD-K11581306-001-01-0	5.028236181241103
H-CBLE-006-4	C18	BRD-K39153737-001-01-5	5.011223446060412
H-CBLE-006-4	C19	BRD-K14081852-001-01-6	5.048126814780369
H-CBLE-006-4	C20	BRD-K25045770-001-01-7	5.016767396482766
H-CBLE-006-4	C21	BRD-K60905563-001-01-9	4.99010202340564
H-CBLE-006-4	C22	BRD-K78762661-001-01-5	4.9536338220195635
H-CBLE-006-4	C23	BRD-K96258717-001-01-6	5.022502613968938
H-CBLE-006-4	C24	BRD-K60076175-001-01-9	5.001385042667961
H-CBLE-006-4	D01	BRD-K27111500-001-01-2	5.049006145442518
H-CBLE-006-4	D02	BRD-K46015322-001-01-8	5.0442038640912035
H-CBLE-006-4	D03	BRD-K20735575-001-01-5	4.975322864631149
H-CBLE-006-4	D04	BRD-K20428189-001-01-5	4.981265525445938
H-CBLE-006-4	D05	BRD-K09993756-001-01-6	5.0209128380498935
H-CBLE-006-4	D06	BRD-K38750802-001-01-9	5.030616456289671
H-CBLE-006-4	D07	BRD-K83586473-001-01-9	5.0166757445399615
H-CBLE-006-4	D08	BRD-K86104966-001-01-2	5.036734469423231
H-CBLE-006-4	D09	BRD-K96440230-001-01-8	5.010325574634041
H-CBLE-006-4	D10	BRD-K65737790-001-01-6	5.035230669063726
H-CBLE-006-4	D11		
H-CBLE-006-4	D12		
H-CBLE-006-4	D13	BRD-K16267084-001-01-9	5.0183286497571205
H-CBLE-006-4	D14	BRD-K16207499-001-01-4	5.054259089617978
H-CBLE-006-4	D15		
H-CBLE-006-4	D16		
H-CBLE-006-4	D17	BRD-K44341877-001-01-9	5.011272179163765
H-CBLE-006-4	D18	BRD-K51364219-001-01-8	5.00474897204864
H-CBLE-006-4	D19	BRD-K58756877-001-01-1	4.984759507143799
H-CBLE-006-4	D20	BRD-K93597476-001-01-1	5.010584144947169
H-CBLE-006-4	D21	BRD-K90408478-001-01-2	5.000258717108683
H-CBLE-006-4	D22	BRD-K46322281-001-01-7	4.9456323596944065
H-CBLE-006-4	D23	BRD-K15290974-001-01-5	5.024736677121829
H-CBLE-006-4	D24	BRD-K42873980-001-01-7	5.0424138925098525
H-CBLE-006-4	E01		
H-CBLE-006-4	E02		
H-CBLE-006-4	E03	BRD-K99127896-001-01-3	4.981687095893596
H-CBLE-006-4	E04	BRD-K73692505-001-01-9	5.020334854602731
H-CBLE-006-4	E05	BRD-K02315086-001-01-0	5.0395873932081905
H-CBLE-006-4	E06	BRD-K13267130-001-01-6	5.051849358504042
H-CBLE-006-4	E07	BRD-K40732885-001-01-3	4.974529964486032
H-CBLE-006-4	E08	BRD-K17171256-001-01-4	5.043039030642592
H-CBLE-006-4	E09		
H-CBLE-006-4	E10		
H-CBLE-006-4	E11	BRD-K85851814-001-01-3	5.035441591831662
H-CBLE-006-4	E12	BRD-K80098154-001-01-4	5.0068243460277
H-CBLE-006-4	E13	BRD-K73669270-001-01-0	4.992480791484808
H-CBLE-006-4	E14	BRD-K68985225-001-01-3	5.016083986445521
H-CBLE-006-4	E15	BRD-K59030325-001-01-8	5.024428871260338
H-CBLE-006-4	E16	BRD-K26423054-001-01-2	5.013543943858927
H-CBLE-006-4	E17		
H-CBLE-006-4	E18		
H-CBLE-006-4	E19	BRD-K34700473-001-01-6	5.023400085813157
H-CBLE-006-4	E20	BRD-K56716645-001-01-8	5.036949946063618
H-CBLE-006-4	E21	BRD-K22380421-001-01-4	4.997024990019936
H-CBLE-006-4	E22	BRD-K23956364-001-01-9	5.000799968843733
H-CBLE-006-4	E23	BRD-K54836449-001-01-4	5.165126045422772
H-CBLE-006-4	E24	BRD-K41604824-001-01-7	5.04939561457184
H-CBLE-006-4	F01		
H-CBLE-006-4	F02		
H-CBLE-006-4	F03	BRD-K40432489-001-01-0	5.062127714527714
H-CBLE-006-4	F04	BRD-K27971671-001-01-2	5.227449532126043
H-CBLE-006-4	F05	BRD-K59356638-001-01-9	4.989949709435409
H-CBLE-006-4	F06	BRD-K88831197-001-01-9	4.998264396020961
H-CBLE-006-4	F07	BRD-K89376690-001-01-6	5.008727686781115
H-CBLE-006-4	F08	BRD-K38350115-001-01-0	4.992429932503796
H-CBLE-006-4	F09		
H-CBLE-006-4	F10		
H-CBLE-006-4	F11	BRD-K78866450-001-01-9	5.010427076035631
H-CBLE-006-4	F12	BRD-K25165359-001-01-2	5.0077736046247
H-CBLE-006-4	F13	BRD-K22970494-001-01-4	4.967520400335728
H-CBLE-006-4	F14	BRD-K27236794-001-01-2	5.038990911296541
H-CBLE-006-4	F15	BRD-K30145193-001-01-7	4.98700911050282
H-CBLE-006-4	F16	BRD-K42633304-001-01-4	5.00413502515138
H-CBLE-006-4	F17		
H-CBLE-006-4	F18		
H-CBLE-006-4	F19	BRD-K81447429-001-01-1	5.072492121423832
H-CBLE-006-4	F20	BRD-K33005275-001-01-1	4.9638086964829515
H-CBLE-006-4	F21	BRD-K71204648-001-01-3	5.225925498247779
H-CBLE-006-4	F22	BRD-K42713448-001-01-1	4.978762659261883
H-CBLE-006-4	F23	BRD-K45909830-001-01-8	4.985754540124997
H-CBLE-006-4	F24	BRD-K37865854-001-01-3	5.030029515605452
H-CBLE-006-4	G01	BRD-K63401195-001-01-2	4.998646541706266
H-CBLE-006-4	G02	BRD-K30214140-001-01-5	5.007014509221352
H-CBLE-006-4	G03		
H-CBLE-006-4	G04		
H-CBLE-006-4	G05	BRD-K19567079-001-01-6	5.003183405629719
H-CBLE-006-4	G06	BRD-K53387776-001-01-2	4.996548617372478
H-CBLE-006-4	G07	BRD-K85813125-001-01-7	5.033639024998205
H-CBLE-006-4	G08	BRD-K74515526-001-01-6	5.046052963378055
H-CBLE-006-4	G09	BRD-K03733288-001-01-9	5.024840927232349
H-CBLE-006-4	G10	BRD-K06611347-001-01-3	4.973722189086378
H-CBLE-006-4	G11	BRD-K93044218-001-01-7	4.9912373622768875
H-CBLE-006-4	G12	BRD-K86019347-001-01-2	5.002981587211642
H-CBLE-006-4	G13	BRD-K34980742-001-01-9	5.045466244788975
H-CBLE-006-4	G14	BRD-K41271559-001-01-6	4.996892765498673
H-CBLE-006-4	G15	BRD-K35035851-001-01-8	5.012701120464823
H-CBLE-006-4	G16	BRD-K78748401-001-01-9	5.001308279730635
H-CBLE-006-4	G17	BRD-K93195567-001-01-4	5.035174664934114
H-CBLE-006-4	G18	BRD-K34258763-001-01-4	5.028291613723056
H-CBLE-006-4	G19		
H-CBLE-006-4	G20		
H-CBLE-006-4	G21	BRD-K15444511-001-01-8	4.971882309351165
H-CBLE-006-4	G22	BRD-K33102216-001-01-8	5.039251237301827
H-CBLE-006-4	G23	BRD-K40887375-001-01-2	4.957959378084167
H-CBLE-006-4	G24	BRD-K74324157-001-01-9	5.021485795665152
H-CBLE-006-4	H01	BRD-K05253426-001-01-9	4.996292658752978
H-CBLE-006-4	H02	BRD-K83783925-001-01-6	5.017314938837037
H-CBLE-006-4	H03		
H-CBLE-006-4	H04		
H-CBLE-006-4	H05	BRD-K99521908-001-01-3	4.947110232155816
H-CBLE-006-4	H06	BRD-K09711841-001-01-9	5.003487904284225
H-CBLE-006-4	H07	BRD-K09560946-001-01-4	5.045267959953045
H-CBLE-006-4	H08	BRD-K42754852-001-01-4	5.035619776535699
H-CBLE-006-4	H09	BRD-K62620616-001-01-9	5.024809598710422
H-CBLE-006-4	H10	BRD-K57972271-001-01-7	5.041802604856423
H-CBLE-006-4	H11	BRD-K68562280-001-01-2	5.015942073983811
H-CBLE-006-4	H12	BRD-K93457574-001-01-9	4.976536710979788
H-CBLE-006-4	H13	BRD-K66479240-001-01-0	4.9957327101692455
H-CBLE-006-4	H14	BRD-K93846199-001-01-8	5.01827957911516
H-CBLE-006-4	H15	BRD-K40011635-001-01-5	5.021389997417696
H-CBLE-006-4	H16	BRD-K70895130-001-01-4	5.017988988943019
H-CBLE-006-4	H17	BRD-K08409548-001-01-7	5.022922842094866
H-CBLE-006-4	H18	BRD-K66700691-001-01-3	5.021310688852834
H-CBLE-006-4	H19		
H-CBLE-006-4	H20		
H-CBLE-006-4	H21	BRD-K74056311-001-01-0	5.008110664265856
H-CBLE-006-4	H22	BRD-K05335635-001-01-1	5.021417424953396
H-CBLE-006-4	H23	BRD-K94344573-001-01-9	5.009056777334018
H-CBLE-006-4	H24	BRD-K44141416-001-01-1	5.022237816039536
H-CBLE-006-4	I01	BRD-K50710722-001-01-3	4.9699686207926765
H-CBLE-006-4	I02	BRD-K64162340-001-01-3	5.011338270603387
H-CBLE-006-4	I03	BRD-K04969760-001-01-5	4.99310560116589
H-CBLE-006-4	I04	BRD-K11925125-001-01-8	4.990337887060466
H-CBLE-006-4	I05		
H-CBLE-006-4	I06		
H-CBLE-006-4	I07	BRD-K74540252-001-01-4	5.042526464431463
H-CBLE-006-4	I08	BRD-K27991961-001-01-9	5.0525618371057375
H-CBLE-006-4	I09	BRD-K62692910-001-01-1	4.981645389053332
H-CBLE-006-4	I10	BRD-K36539857-001-01-2	4.981879465765437
H-CBLE-006-4	I11	BRD-K02353863-001-01-0	5.035479753641939
H-CBLE-006-4	I12	BRD-K47228832-001-01-9	5.013361803718399
H-CBLE-006-4	I13	BRD-K05509844-001-01-8	4.9880027095698285
H-CBLE-006-4	I14	BRD-K37271110-001-01-4	5.046999020618918
H-CBLE-006-4	I15	BRD-K32071534-001-01-1	4.9969938870851
H-CBLE-006-4	I16	BRD-K56987307-001-01-4	5.027668090939786
H-CBLE-006-4	I17	BRD-K26435104-001-01-6	5.016684701193005
H-CBLE-006-4	I18	BRD-K30264389-001-01-0	5.000550045252624
H-CBLE-006-4	I19	BRD-K92736140-001-01-2	5.003631703098517
H-CBLE-006-4	I20	BRD-K33997327-001-01-7	4.982609676174832
H-CBLE-006-4	I21		
H-CBLE-006-4	I22		
H-CBLE-006-4	I23	BRD-K24170552-001-01-8	4.913588834338131
H-CBLE-006-4	I24	BRD-K60166659-001-01-3	5.039897025410921
H-CBLE-006-4	J01	BRD-K20073772-001-01-2	4.994262930545771
H-CBLE-006-4	J02	BRD-K66511507-001-01-8	5.057474107488179
H-CBLE-006-4	J03	BRD-K87889654-001-01-4	5.01577677447744
H-CBLE-006-4	J04	BRD-K25559116-001-01-0	5.00984863292841
H-CBLE-006-4	J05		
