well_position	broad_sample	conc_mmol
A01	BRD-K86577310-001-02-0	5.017346181890183
A02	BRD-K37975228-001-02-7	5.014114198051109
A03	BRD-K73695595-001-02-1	5.01866036058561
A04	BRD-K06576075-001-02-4	5.008441218621937
A05	BRD-K87779720-001-02-5	5.014948288100371
A06	BRD-K82919339-001-02-5	5.0026234040615325
A07	BRD-K07029108-001-02-4	5.018551137405851
A08	BRD-K64299311-001-02-6	5.0246874615129515
A09	BRD-K49050984-001-02-9	5.0118976414378595
A10	BRD-K32418104-001-02-2	5.008044435659647
A11	BRD-K79688948-001-02-4	5.00258036232084
A12	BRD-K68530167-001-02-5	5.01885031212842
A13		
A14		
A15	BRD-K22062326-001-02-2	5.019955993108495
A16	BRD-K58208155-001-02-4	5.002252593054565
A17	BRD-K10698156-001-01-4	5.021254965501821
A18	BRD-K56415410-001-01-0	5.058656883117702
A19	BRD-K13782363-001-01-2	4.887753232282738
A20	BRD-K86039224-001-01-8	4.960740292764128
A21	BRD-K16257584-001-01-5	4.91326097426757
A22	BRD-K77663497-001-01-6	5.063491005993788
A23	BRD-K62892366-001-01-6	5.018598558712577
A24	BRD-K31462164-001-01-0	4.96216612532312
B01	BRD-K18861574-001-01-4	4.97196623220427
B02	BRD-K51051798-001-01-0	4.999272114661388
B03	BRD-K69435400-001-01-5	4.675072861903287
B04	BRD-K78347804-001-01-3	5.063937812663204
B05	BRD-K52989901-001-01-4	5.0679158023848565
B06	BRD-K81949875-001-01-5	4.995020521599243
B07	BRD-K46195730-001-01-4	5.031090865521925
B08	BRD-K18296708-001-01-2	4.993095706665564
B09	BRD-K20951097-001-01-7	4.9137651950867784
B10	BRD-K50133846-001-01-9	4.9785941447046795
B11	BRD-K38574421-001-01-4	5.092238424981425
B12	BRD-K77713205-001-01-2	4.937032319140191
B13		
B14		
B15	BRD-K08300592-001-01-3	4.967809533534125
B16	BRD-K39584933-001-01-3	4.954379108634169
B17	BRD-K91297952-001-01-3	5.186410771829896
B18	BRD-K27008344-001-01-0	5.0133130712911065
B19	BRD-K10288935-001-01-2	5.0244882386197025
B20	BRD-K43911180-001-01-2	5.006157509628189
B21	BRD-K15968719-001-01-6	5.082332406881031
B22	BRD-K00542622-001-01-2	5.067818773115687
B23	BRD-K16705729-001-01-9	4.980317452274931
B24	BRD-K26704304-001-01-3	4.964705588355747
C01	BRD-K43316594-001-01-4	4.699591381579313
C02	BRD-K47062996-001-01-4	5.007437602107684
C03	BRD-K17889110-001-01-7	5.320780996788934
C04	BRD-K04695511-001-01-8	4.8668404181688505
C05	BRD-K25718133-001-01-1	4.875304488461319
C06	BRD-K86964464-001-01-6	5.0943855321877125
C07	BRD-K49215099-001-01-2	4.973091146214857
C08	BRD-K96567801-001-01-7	4.991054369332127
C09	BRD-K67430561-001-01-3	4.859366142338416
C10	BRD-K43969492-001-01-3	4.994532991391538
C11		
C12		
C13	BRD-K14416602-001-01-7	5.2322356985756935
C14	BRD-K15515777-001-01-4	4.967763344930185
C15		
C16		
C17	BRD-K52863921-001-01-7	4.901276443452793
C18	BRD-K94347944-001-01-4	5.085984203541319
C19	BRD-K00078503-001-01-1	4.9876488968634645
C20	BRD-K89399989-001-01-8	5.037235657316218
C21	BRD-K64602559-001-01-4	4.7811684425663605
C22	BRD-K27067020-001-01-7	5.039763599821097
C23	BRD-K48665080-001-01-0	5.010633652318838
C24	BRD-K83916197-001-01-3	4.935783288510668
D01	BRD-K40939137-001-01-0	5.0316255703786
D02	BRD-K52049165-001-01-8	5.124265691283232
D03	BRD-K12531686-001-01-4	5.061009831826733
D04	BRD-K05181466-001-01-3	5.057232044118638
D05	BRD-K86792405-001-01-3	4.987302732997494
D06	BRD-K65796649-001-01-5	4.997770042588158
D07	BRD-K70652938-001-01-3	5.081083003450092
D08	BRD-K65315551-001-01-0	5.109703093995836
D09	BRD-K57404319-001-01-5	4.899374531153081
D10	BRD-K54453373-001-01-8	4.984688572948681
D11		
D12		
D13	BRD-K67403750-001-01-1	5.067879646136222
D14	BRD-K73387470-001-01-7	5.051081372981231
D15		
D16		
D17	BRD-K90359063-001-01-8	5.18125596478005
D18	BRD-K73780763-001-01-9	5.048309514676704
D19	BRD-K39962926-001-01-0	5.068730108873987
D20	BRD-K34519170-001-01-6	4.922369277385435
D21	BRD-K71537757-001-01-3	5.030246898837633
D22	BRD-K58607444-001-01-0	4.970267195595201
D23	BRD-K39449566-001-01-3	5.0377891947989
D24	BRD-K85720719-001-01-6	5.060669159699627
E01		
E02		
E03	BRD-K28698418-001-01-8	4.9785442197807575
E04	BRD-K99728124-001-01-2	4.957342824432516
E05	BRD-K28535931-001-01-0	5.022855423278564
E06	BRD-K69035249-001-01-8	5.014643845737545
E07	BRD-K94582694-001-01-8	5.009474577191676
E08	BRD-K81501934-001-01-3	4.9774813870797425
E09		
E10		
E11	BRD-K91843292-001-01-3	5.004514423005868
E12	BRD-K65663356-001-01-0	4.992518363438861
E13	BRD-K99982687-001-01-4	4.560056611326104
E14	BRD-K85284710-001-01-2	5.12729220324847
E15	BRD-K50689779-001-01-1	4.956532854328118
E16	BRD-K78747341-001-01-4	5.032047897815114
E17		
E18		
E19	BRD-K96164740-001-01-7	5.06100886186155
E20	BRD-K91615044-001-01-6	5.029352572123504
