well_position	broad_sample	mmoles_per_liter	solvent
A01			DMSO
A02			DMSO
A03	BRD-K13741983-001-05-9	5.0	DMSO
A04	BRD-A16891671-001-05-8	5.0	DMSO
A05	BRD-K70195702-001-06-6	5.0	DMSO
A06	BRD-K55286161-001-05-8	5.0	DMSO
A07	BRD-K98879597-001-06-1	5.0	DMSO
A08	BRD-K33088594-001-06-0	5.0	DMSO
A09	BRD-K94144404-001-05-9	5.0	DMSO
A10	BRD-K42411129-001-05-9	5.0	DMSO
A11	BRD-K86726862-001-05-8	5.0	DMSO
A12	BRD-K81742580-001-06-9	5.0	DMSO
A13	BRD-K50842855-001-05-4	5.0	DMSO
A14	BRD-K52886246-001-08-1	5.0	DMSO
A15	BRD-K57808487-034-06-3	5.0	DMSO
A16	BRD-K35448613-001-05-3	5.0	DMSO
A17	BRD-K09963346-001-05-7	5.0	DMSO
A18	BRD-K37827001-001-05-6	5.0	DMSO
A19	BRD-K65452667-001-05-3	5.0	DMSO
A20	BRD-A82982666-001-01-0	5.0	DMSO
A21	BRD-K63881275-001-05-9	5.0	DMSO
A22	BRD-K15976239-001-07-7	5.0	DMSO
A23			DMSO
A24			DMSO
B01			DMSO
B02			DMSO
B03	BRD-K78817124-001-05-9	5.0	DMSO
B04	BRD-K64876000-001-05-0	5.0	DMSO
B05	BRD-K58784344-001-06-7	5.0	DMSO
B06	BRD-K04781025-001-06-4	5.0	DMSO
B07	BRD-K86471821-001-06-9	5.0	DMSO
B08	BRD-K11710893-001-05-5	5.0	DMSO
B09	BRD-K05139097-001-06-7	5.0	DMSO
B10	BRD-K10098695-001-05-6	5.0	DMSO
B11	BRD-K51358889-001-05-0	5.0	DMSO
B12	BRD-K74195971-001-05-8	5.0	DMSO
B13	BRD-K90006227-001-05-9	5.0	DMSO
B14	BRD-K97050484-001-05-8	5.0	DMSO
B15	BRD-K20937978-001-05-1	5.0	DMSO
B16	BRD-K52241838-001-05-9	5.0	DMSO
B17	BRD-K67547420-001-05-6	5.0	DMSO
B18	BRD-K02347735-001-06-7	5.0	DMSO
B19	BRD-K53662664-001-05-4	5.0	DMSO
B20	BRD-K66768592-001-05-1	5.0	DMSO
B21	BRD-A08986082-001-05-9	5.0	DMSO
B22	BRD-K28657502-001-05-2	5.0	DMSO
B23			DMSO
B24			DMSO
C01			DMSO
C02			DMSO
C03	BRD-K89041560-001-05-4	5.0	DMSO
