well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K87483976-001-01-7	5.01801301920298	DMSO
A02	BRD-K82073510-001-01-4	5.02674683519812	DMSO
A03	BRD-K06859109-001-01-6	4.85138094273473	DMSO
A04	BRD-K17997527-001-01-5	5.03817501647196	DMSO
A05	BRD-K29863828-001-01-1	4.97556397180812	DMSO
A06	BRD-K35664036-001-01-3	5.01976318128975	DMSO
A07	BRD-K29723347-001-01-9	4.916368347244269	DMSO
A08	BRD-K65297542-001-01-2	4.97356598660369	DMSO
A09	BRD-K02214161-001-01-3	4.97889176116246	DMSO
A10	BRD-K06743007-001-01-5	4.98500363501193	DMSO
A11	BRD-K16395143-001-01-7	4.95598034376791	DMSO
A12	BRD-K03620381-001-01-4	5.01391444064762	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K95852319-001-01-9	4.965820941193741	DMSO
A16	BRD-K92569554-001-01-6	0.357776385339719	DMSO
A17	BRD-K27058632-001-01-6	4.97902253674092	DMSO
A18	BRD-K21450593-001-01-8	5.03422474261434	DMSO
A19	BRD-K17367110-001-01-4	5.00059198090658	DMSO
A20	BRD-K46413323-001-01-4	5.03537512961268	DMSO
A21	BRD-K53936012-001-01-0	5.00617816510442	DMSO
A22	BRD-K96154586-001-01-5	5.03989414440532	DMSO
A23	BRD-K16791544-001-01-2	5.00955338668807	DMSO
A24	BRD-K35219796-001-01-6	5.035924497980191	DMSO
B01	BRD-K04425475-001-01-4	5.02927729832526	DMSO
B02	BRD-K27203177-001-01-9	4.97285888318338	DMSO
B03	BRD-K36988621-001-01-6	5.00511790876067	DMSO
B04	BRD-K70533622-001-01-6	4.97832201167171	DMSO
B05	BRD-K02032383-001-01-1	4.9964563172591605	DMSO
B06	BRD-K00491559-001-01-9	5.02828927968398	DMSO
B07	BRD-K92765714-001-01-7	4.99899987878725	DMSO
B08	BRD-K36322496-001-01-0	5.0460080755664904	DMSO
B09	BRD-K29681850-001-01-8	4.9992078155638096	DMSO
B10	BRD-K31564149-001-01-3	5.00064818114183	DMSO
B11	BRD-K37483469-001-01-2	5.03711833112545	DMSO
B12	BRD-K19439787-001-01-1	5.0011241400092805	DMSO
B13			DMSO
B14			DMSO
B15	BRD-K89801935-001-01-8	5.0396275607991505	DMSO
B16	BRD-K39460811-001-01-3	5.00267642135063	DMSO
B17	BRD-K05841284-001-01-2	4.96504679142351	DMSO
B18	BRD-K37961770-001-01-1	5.005518489603451	DMSO
B19	BRD-K49704392-001-01-9	4.9678607851225305	DMSO
B20	BRD-K23975481-001-01-7	5.00596151564428	DMSO
B21	BRD-K33956247-001-01-0	4.987172126335389	DMSO
B22	BRD-K24108193-001-01-3	5.00438730911056	DMSO
B23	BRD-K22874335-001-01-1	4.97607036992658	DMSO
B24	BRD-K99681648-001-01-0	5.00785050862741	DMSO
C01	BRD-K34303900-001-01-2	4.958473689116079	DMSO
C02	BRD-K41900823-001-01-0	5.04666065787237	DMSO
C03	BRD-K88261861-001-01-4	4.97827151597413	DMSO
C04	BRD-K83551126-001-01-4	5.04671532545795	DMSO
C05	BRD-K69073492-001-01-3	4.99740618453088	DMSO
C06	BRD-K26252344-001-01-5	5.03321474393616	DMSO
C07	BRD-K32168165-001-01-1	5.10574487080924	DMSO
C08	BRD-K13249233-001-01-0	5.00057310520476	DMSO
C09	BRD-K86229759-001-01-8	5.1142379478937805	DMSO
C10	BRD-K44817056-001-01-1	4.9553936470453	DMSO
C11			DMSO
C12			DMSO
C13	BRD-K49108064-001-01-0	4.963158370273139	DMSO
C14	BRD-K03852663-001-01-2	5.01042443940117	DMSO
C15			DMSO
C16			DMSO
C17	BRD-K52842821-001-01-2	4.96383104376063	DMSO
C18	BRD-K06724886-001-01-1	5.02780152584384	DMSO
C19	BRD-K43414987-001-01-2	4.96940808137721	DMSO
C20	BRD-K69659917-001-01-6	5.01456922572295	DMSO
C21	BRD-K03730769-001-01-3	5.13715579386048	DMSO
C22	BRD-K71221636-001-01-1	5.02290076275764	DMSO
C23	BRD-K14671528-001-01-8	5.01176771195981	DMSO
C24	BRD-K28107038-001-01-0	5.02367176113111	DMSO
D01	BRD-K18318274-001-01-8	4.981431261016599	DMSO
D02	BRD-K53687734-001-01-6	5.02337761063326	DMSO
D03	BRD-K24090480-001-01-5	4.98311106409001	DMSO
D04	BRD-K77493974-001-01-0	4.97210581389626	DMSO
D05	BRD-K15086454-001-01-6	4.98702068719432	DMSO
D06	BRD-K23047317-001-01-5	4.97373054426126	DMSO
D07	BRD-K92470355-001-01-8	4.98895248770647	DMSO
D08	BRD-K22718522-001-01-3	5.00345533007604	DMSO
D09	BRD-K13258766-001-01-6	5.03261652392057	DMSO
D10	BRD-K30365768-001-01-6	5.01886384645597	DMSO
D11			DMSO
D12			DMSO
D13	BRD-K33151492-001-01-0	5.026822919248709	DMSO
D14	BRD-K65932559-001-01-4	4.97940507142859	DMSO
D15			DMSO
D16			DMSO
D17	BRD-K50272743-001-01-9	5.01998043451076	DMSO
D18	BRD-K31407552-001-01-5	4.99342212087254	DMSO
D19	BRD-K03923461-001-01-5	5.02286402577686	DMSO
D20	BRD-K16279128-001-01-2	5.01914845329402	DMSO
D21	BRD-K21990363-001-01-1	5.03057446254288	DMSO
D22	BRD-K87224747-001-01-3	4.97785992323543	DMSO
D23	BRD-K27914478-001-01-7	5.0913184536691105	DMSO
D24	BRD-K23244363-001-01-1	4.98780998904902	DMSO
E01			DMSO
E02			DMSO
E03	BRD-K61944729-001-01-8	4.99312651248411	DMSO
E04	BRD-K53988643-001-01-8	5.02390670062112	DMSO
E05	BRD-K24533571-001-01-4	5.013037215532889	DMSO
E06	BRD-K11355500-001-01-3	5.03289622481776	DMSO
E07	BRD-K18951817-001-01-0	5.019772111753401	DMSO
E08	BRD-K40471860-001-01-7	5.06640419366504	DMSO
E09			DMSO
E10			DMSO
E11	BRD-K95845541-001-01-3	5.08505297951908	DMSO
E12	BRD-K04696985-001-01-3	5.06977781564748	DMSO
E13	BRD-K37790543-001-01-0	5.09142428595797	DMSO
E14	BRD-K54212583-001-01-4	5.092702273573339	DMSO
E15	BRD-K07988588-001-01-2	5.02537785978675	DMSO
E16	BRD-K90475322-001-01-9	4.97787786041006	DMSO
E17			DMSO
E18			DMSO
E19	BRD-K06529600-001-01-9	5.02977957814811	DMSO
E20	BRD-K71415389-001-01-8	4.98476680714682	DMSO
E21	BRD-K21139023-001-01-7	5.16142066931975	DMSO
E22	BRD-K96764878-001-01-8	4.9894610474381205	DMSO
E23	BRD-K22974051-001-01-1	5.03433934329923	DMSO
E24	BRD-K46994278-001-01-8	4.87641108596525	DMSO
F01			DMSO
F02			DMSO
F03	BRD-K10313926-001-01-9	5.02757101339957	DMSO
F04	BRD-K48946249-001-01-2	5.00478683526343	DMSO
F05	BRD-K77691991-001-01-8	5.11099020552861	DMSO
F06	BRD-K66117405-001-01-7	5.00746273564729	DMSO
F07	BRD-K62774895-001-01-6	5.02956472838443	DMSO
F08	BRD-K04256929-001-01-5	5.00882228735192	DMSO
F09			DMSO
F10			DMSO
F11	BRD-K17553342-001-01-9	5.03067265617932	DMSO
F12	BRD-K54820232-001-01-9	5.02724222573232	DMSO
F13	BRD-K02927989-001-01-0	5.03666548873032	DMSO
F14	BRD-K36228696-001-01-7	5.02911844231201	DMSO
F15	BRD-K63212062-001-01-3	4.9965487347323	DMSO
F16	BRD-K77345736-001-01-1	4.98541841773269	DMSO
F17			DMSO
F18			DMSO
F19	BRD-K69671285-001-01-5	4.99656229436343	DMSO
F20	BRD-K20895937-001-01-0	4.9901986278649	DMSO
F21	BRD-K15800236-001-01-5	4.99843963868159	DMSO
F22	BRD-K49472569-001-01-0	4.99916062417154	DMSO
F23	BRD-K02959126-001-01-7	4.99866555533324	DMSO
F24	BRD-K24748087-001-01-5	5.0135358536937895	DMSO
G01	BRD-K86241681-001-01-6	5.338115932790879	DMSO
G02	BRD-K87213692-001-01-1	5.06450780064936	DMSO
G03			DMSO
G04			DMSO
G05	BRD-K51618267-001-01-8	4.972728088683049	DMSO
G06	BRD-K36966028-001-01-1	5.0021514132921	DMSO
G07	BRD-K27499870-001-01-3	5.01141353825932	DMSO
G08	BRD-K69763908-001-01-7	5.00895671251455	DMSO
G09	BRD-K71600285-001-01-0	5.01237690540218	DMSO
G10	BRD-K61422214-001-01-7	5.0101333728388795	DMSO
G11	BRD-K32201912-001-01-6	4.990700013626481	DMSO
G12	BRD-K97054359-001-01-1	5.013412360722	DMSO
G13	BRD-K59870481-001-01-7	5.01189278736636	DMSO
G14	BRD-K76513704-001-01-3	5.01911887326171	DMSO
G15	BRD-K45057266-001-01-9	5.02459893104799	DMSO
G16	BRD-K09248459-001-01-5	5.02399286637276	DMSO
G17	BRD-K25710391-001-01-5	4.97039352071925	DMSO
G18	BRD-K40474424-001-01-0	5.0255859317087594	DMSO
G19			DMSO
G20			DMSO
G21	BRD-K34405227-001-01-1	4.98813228488075	DMSO
G22	BRD-K11404512-001-01-5	5.05177305057403	DMSO
G23	BRD-K94409042-001-01-3	4.99200085998518	DMSO
G24	BRD-K13901498-001-01-6	5.01166696400653	DMSO
H01	BRD-K60208734-001-01-2	5.01026719296705	DMSO
H02	BRD-K57749441-001-01-4	5.016205778647981	DMSO
H03			DMSO
H04			DMSO
H05	BRD-K32539786-001-01-2	5.01864094377184	DMSO
H06	BRD-K73885376-001-01-5	5.01722242713676	DMSO
H07	BRD-K97227180-001-01-8	5.02094247940762	DMSO
H08	BRD-K63398969-001-01-4	5.02270273390409	DMSO
H09	BRD-K86422406-001-01-6	5.0327497606986	DMSO
H10	BRD-K39734779-001-01-1	5.02898054977823	DMSO
H11	BRD-K97740378-001-01-2	4.97142112374777	DMSO
H12	BRD-K45199298-001-01-1	4.96071014196116	DMSO
H13	BRD-K55218521-001-01-5	4.97202461347151	DMSO
H14	BRD-K71537579-001-01-9	4.9686825859602495	DMSO
H15	BRD-K56761719-001-01-5	4.97456868405339	DMSO
H16	BRD-K54881917-001-01-3	4.987893819282919	DMSO
H17	BRD-K32727528-001-01-6	5.012161528846231	DMSO
H18	BRD-K00191683-001-01-4	4.9980400954013495	DMSO
H19			DMSO
H20			DMSO
H21	BRD-K70923850-001-01-2	5.01336606923087	DMSO
H22	BRD-K91470977-001-01-7	5.00529463849765	DMSO
H23	BRD-K35527855-001-01-0	5.0143313585952	DMSO
H24	BRD-K38450726-001-01-9	5.01908506914992	DMSO
I01	BRD-K33315581-001-01-3	5.06627571797492	DMSO
I02	BRD-K05251636-001-01-9	4.99443421775551	DMSO
I03	BRD-K86842652-001-01-6	4.99039249577358	DMSO
I04	BRD-K47171373-001-01-6	5.007358843914861	DMSO
I05			DMSO
I06			DMSO
I07	BRD-K36806422-001-01-1	4.99291677473584	DMSO
I08	BRD-K97047764-001-01-4	5.0106102321311905	DMSO
I09	BRD-K83470183-001-01-7	5.00010430921154	DMSO
I10	BRD-K32466161-001-01-3	5.02480999551528	DMSO
I11	BRD-K79270741-001-01-2	5.009919417218629	DMSO
I12	BRD-K92340402-001-01-6	5.00417266297693	DMSO
I13	BRD-K30467307-001-01-8	5.01944649178225	DMSO
I14	BRD-K84846130-001-01-1	5.0506648157911105	DMSO
I15	BRD-K57443386-001-01-1	5.02748650329597	DMSO
I16	BRD-K32434600-001-01-0	4.99249814857659	DMSO
I17	BRD-K35792251-001-01-0	5.02996857510154	DMSO
I18	BRD-K76500652-001-01-2	5.00704640492565	DMSO
I19	BRD-K07414059-001-01-9	4.9902301886303695	DMSO
I20	BRD-K37387086-001-01-8	5.00794808315436	DMSO
I21			DMSO
I22			DMSO
I23	BRD-K10189430-001-01-2	5.00168276414276	DMSO
I24	BRD-K27885839-001-01-3	5.00802724346646	DMSO
J01	BRD-K35873184-001-01-0	5.01508531995587	DMSO
J02	BRD-K85232409-001-01-7	5.020306232233059	DMSO
J03	BRD-K53470221-001-01-7	5.02737750774269	DMSO
J04	BRD-K17308485-001-01-5	5.02638102488504	DMSO
J05			DMSO
J06			DMSO
J07	BRD-K81222311-001-01-9	5.02998672375996	DMSO
J08	BRD-K48408514-001-01-1	5.03181875419589	DMSO
J09	BRD-K80167378-001-01-7	5.031513340227571	DMSO
J10	BRD-K68579984-001-01-5	5.02944061243084	DMSO
J11	BRD-K84151467-001-01-9	5.13934587563309	DMSO
