well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K22494201-001-01-9	5.01795846618995	DMSO
A02	BRD-K32322802-001-01-3	5.03126475464706	DMSO
A03	BRD-K19933506-001-01-3	5.02106880264013	DMSO
A04	BRD-K05050883-001-01-5	5.02517297798291	DMSO
A05	BRD-K18767302-001-01-2	5.00972548550151	DMSO
A06	BRD-K27343142-001-01-5	5.00544297837135	DMSO
A07	BRD-K02058097-001-01-3	5.00820864072924	DMSO
A08	BRD-K76358141-001-01-4	5.00119995210767	DMSO
A09	BRD-K70166659-001-01-1	5.028940223878769	DMSO
A10	BRD-K08078340-001-01-0	4.98276512681839	DMSO
A11	BRD-K66033125-001-01-5	5.00022407787608	DMSO
A12	BRD-K92860459-001-01-5	5.0263410720198705	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K07625901-001-01-0	5.01892273917625	DMSO
A16	BRD-K51322285-001-01-5	4.98182116687863	DMSO
A17	BRD-K68445037-001-01-6	5.0098424781748605	DMSO
A18	BRD-K44029733-001-01-4	4.86246402059983	DMSO
A19	BRD-K76624532-001-01-6	5.0192111522091	DMSO
A20	BRD-K52831370-001-01-0	5.048233311231081	DMSO
A21	BRD-K70861166-001-01-3	5.065761736120661	DMSO
A22	BRD-K85930698-001-01-6	5.086638265821151	DMSO
A23	BRD-K76665741-001-01-6	5.02853851592555	DMSO
A24	BRD-K16782389-001-01-9	4.953531934934349	DMSO
B01	BRD-K51164971-001-01-0	4.99055429710707	DMSO
B02	BRD-K26125024-001-01-0	5.00940590705236	DMSO
B03	BRD-K94708051-001-01-6	5.02088783643	DMSO
B04	BRD-K02189204-001-01-6	5.0551508737554	DMSO
B05	BRD-K01202062-001-01-9	5.02906434064067	DMSO
B06	BRD-K43108514-001-01-2	5.03436117866322	DMSO
B07	BRD-K89491100-001-01-7	5.03950178020641	DMSO
B08	BRD-K43939579-001-01-2	5.02072569952659	DMSO
B09	BRD-K40358966-001-01-9	4.98349809184034	DMSO
